category,term,value
cell_type,LCH,#ce1256
cell_type,DC,#ff7f00
cell_type,MacMon,#984ea3
cell_type,TNKcell,#377eb8
cell_type,Bcell,#4daf4a
cell_type,-,#AAAAAA
cluster,LCH-C0,#38a0b7
cluster,LCH-C1,#00c1bd
cluster,LCH-C2,#f47b2d
cluster,LCH-C3,#ce3f3d
cluster,LCH-C4,#25dea2
cluster,LCH-C5,#253494
cluster,LCH-C6,#62bc4f
cluster,LCH-C7,#c6eb3c
cluster,LCH-C8,#92d447
cluster,LCH-C9,#f1ff5e
cluster,LCH-C10,#ffff33
cluster,LCH-C11,#ffbb18
cluster,LCH-C12,#980043
cluster,LCH-C13,#31a354
