db_name
ARCHS4_Tissues
Jensen_DISEASES
NCI-Nature_2016
BioCarta_2016
OMIM_Expanded
GO_Biological_Process_2018
Disease_Perturbations_from_GEO_down
Disease_Perturbations_from_GEO_up
GTEx_Tissue_Sample_Gene_Expression_Profiles_down
GTEx_Tissue_Sample_Gene_Expression_Profiles_up
KEGG_2019_Human
WikiPathways_2019_Human
ARCHS4_IDG_Coexp
GO_Biological_Process_2017
GO_Biological_Process_2017b
Human_Gene_Atlas
Human_Phenotype_Ontology
KEGG_2016
MSigDB_Oncogenic_Signatures
WikiPathways_2016
